market,min_amount,maker_fee_rate,taker_fee_rate,is_amm_available,is_margin_available,price,value,volume_sell,volume_buy
STGUSDT,5,0.003,0.003,True,False,0.2932,4028.972957391023,4949.7024657,4753.71355958
EDUUSDT,5,0.003,0.003,True,False,0.5388,5004.359139316697,2205.09814476,3927.10240184
BUZUSDT,5,0.003,0.003,True,False,0.2357,2741.333975058442,5849.93901108,1391.36313555
GEODUSDT,5,0.003,0.003,True,False,0.301909,3256.08988076275033,1429.36825143,5730.40663625
OMGUSDT,5,0.002,0.002,False,False,0.2542,4709.044168176217,11931.38195911,3602.17545723
SANTOSUSDT,0.5,0.003,0.003,True,False,2.6615,2713.55902731729,278.35889474,377.61374633
ARTYUSDT,5,0.003,0.003,True,False,0.4573,4425.426337745193,2328.83432784,3857.24994193
RONUSDT,1,0.002,0.002,False,True,1.6577,89937.744841323192,9049.84072934,10545.37892254
SSVUSDT,0.05,0.003,0.003,True,True,22.01,2475.4557009813,27.98443128,44.8517231
GRSUSDT,5,0.003,0.003,True,False,0.3411,12327.924411762536,8820.56421748,12495.5707188
UXLINKUSDT,5,0.003,0.003,True,False,0.5912,8301.122989588573,3026.75617572,6295.03244813
ENSUSDT,0.1,0.002,0.002,False,True,16.7581,15867.157670886687,134.13204734,545.938831
ENAUSDT,5,0.003,0.003,True,True,0.2996,28058.646508266119,29249.90590923,20463.51483334
ONGUSDT,5,0.003,0.003,True,False,0.2972,3658.881055698806,3675.07128153,3834.86593071
REDOUSDT,5,0.003,0.003,True,False,0.3199,17812.363023117617,32255.84830299,9081.49237778
FIDAUSDT,5,0.003,0.003,True,False,0.268859,3626.34158268735198,5844.6795722,3225.23155302
PNGUSDT,5,0.003,0.003,True,False,0.2541,3503.794250388248,3519.42018836,4593.24610869
USDCUSDT,1,0.001,0.001,True,False,0.9991,201680.771756497674,21570.6070171,56116.99336661
HOOKUSDT,5,0.003,0.003,True,False,0.4263,45064.485166211372,4924.77047137,2961.33435236
